scenario,seed,controller,attempted_rentals,served_rentals,attempted_returns,accepted_returns,lost_rentals,rejected_returns,service_failures,bikes_moved,truck_distance_km,unrealized_transfer_bikes,terminal_imbalance,terminal_truck_inventory,objective
nominal,0,none,73,65,77,70,8,7,15,0,0.0,0,32.5,0,18.25
nominal,0,open_loop,73,68,77,73,5,4,9,6,0.8533739059724342,0,32.5,0,12.720674781194488
nominal,0,feedback,73,73,77,77,0,0,0,32,5.120243435834605,0,15.5,0,4.174048687166921
nominal,1,none,67,67,72,61,0,11,11,0,0.0,0,36.5,0,14.65
nominal,1,open_loop,67,67,72,64,0,8,8,6,0.8533739059724342,0,33.5,0,11.820674781194487
nominal,1,feedback,67,67,72,71,0,1,1,24,3.3882183322863315,0,26.5,0,5.5276436664572675
nominal,2,none,58,58,78,70,0,8,8,0,0.0,0,37.5,0,11.75
nominal,2,open_loop,58,58,78,73,0,5,5,6,0.8533739059724342,0,34.5,0,8.920674781194487
nominal,2,feedback,58,58,78,77,0,1,1,16,2.5601217179173026,0,32.5,4,5.56202434358346
nominal,3,none,67,67,88,71,0,17,17,0,0.0,0,27.5,0,19.75
nominal,3,open_loop,67,67,88,74,0,14,14,6,0.8533739059724342,0,24.5,0,16.92067478119449
nominal,3,feedback,67,67,88,82,0,6,6,26,2.5601217179173026,0,21.5,0,9.96202434358346
nominal,4,none,87,86,86,75,1,11,12,0,0.0,0,41.5,0,16.15
nominal,4,open_loop,87,87,86,78,0,8,8,6,0.8533739059724342,0,39.5,0,12.420674781194489
nominal,4,feedback,87,87,86,86,0,0,0,42,8.210871050586439,0,21.5,0,5.892174210117288
nominal,5,none,69,69,79,67,0,12,12,0,0.0,0,28.5,0,14.85
nominal,5,open_loop,69,69,79,70,0,9,9,6,0.8533739059724342,0,28.5,0,12.320674781194487
nominal,5,feedback,69,69,79,79,0,0,0,24,5.650749332669137,0,17.5,0,4.080149866533827
nominal,6,none,58,58,85,79,0,6,6,0,0.0,0,27.5,0,8.75
nominal,6,open_loop,58,58,85,80,0,5,5,6,0.8533739059724342,0,28.5,0,8.320674781194487
nominal,6,feedback,58,58,85,79,0,6,6,0,0.0,0,27.5,0,8.75
nominal,7,none,63,59,78,66,4,12,16,0,0.0,0,36.5,0,19.65
nominal,7,open_loop,63,62,78,69,1,9,10,6,0.8533739059724342,0,36.5,0,14.120674781194488
nominal,7,feedback,63,63,78,78,0,0,0,27,5.9736173418070395,0,30.5,5,5.594723468361408
nominal,8,none,65,65,71,65,0,6,6,0,0.0,0,28.5,0,8.85
nominal,8,open_loop,65,65,71,68,0,3,3,6,0.8533739059724342,0,25.5,0,6.0206747811944865
nominal,8,feedback,65,65,71,71,0,0,0,28,3.3882183322863315,0,13.5,0,3.4276436664572665
nominal,9,none,63,63,94,75,0,19,19,0,0.0,0,23.5,0,21.35
nominal,9,open_loop,63,63,94,78,0,16,16,6,0.8533739059724342,0,26.5,0,19.120674781194488
nominal,9,feedback,63,63,94,79,0,15,15,8,0.8533739059724342,0,27.5,0,18.320674781194487
nominal,10,none,63,63,83,71,0,12,12,0,0.0,0,25.5,0,14.55
nominal,10,open_loop,63,63,83,74,0,9,9,6,0.8533739059724342,0,22.5,0,11.720674781194488
nominal,10,feedback,63,63,83,79,0,4,4,16,4.9335321396622485,0,22.5,0,8.03670642793245
nominal,11,none,50,50,73,65,0,8,8,0,0.0,0,28.5,0,10.85
nominal,11,open_loop,50,50,73,68,0,5,5,6,0.8533739059724342,0,25.5,0,8.020674781194487
nominal,11,feedback,50,50,73,68,0,5,5,6,0.8533739059724342,0,25.5,0,8.020674781194487
nominal,12,none,61,61,83,71,0,12,12,0,0.0,0,25.5,0,14.55
nominal,12,open_loop,61,61,83,74,0,9,9,6,0.8533739059724342,0,22.5,0,11.720674781194488
nominal,12,feedback,61,61,83,74,0,9,9,6,1.7067478119448685,0,22.5,0,11.891349562388974
nominal,13,none,67,67,79,67,0,12,12,0,0.0,0,30.5,0,15.05
nominal,13,open_loop,67,67,79,70,0,9,9,6,0.8533739059724342,0,27.5,0,12.220674781194488
nominal,13,feedback,67,67,79,79,0,0,0,30,4.958809431265654,0,19.5,0,4.441761886253131
nominal,14,none,46,46,71,66,0,5,5,0,0.0,0,26.5,0,7.65
nominal,14,open_loop,46,46,71,69,0,2,2,6,0.8533739059724342,0,29.5,0,5.420674781194487
nominal,14,feedback,46,46,71,70,0,1,1,8,1.5705910989793224,0,30.5,0,4.764118219795865
nominal,15,none,71,71,76,69,0,7,7,0,0.0,0,30.5,0,10.05
nominal,15,open_loop,71,71,76,72,0,4,4,6,0.8533739059724342,0,27.5,0,7.220674781194487
nominal,15,feedback,71,71,76,76,0,0,0,26,5.923062758600229,0,14.5,0,3.934612551720046
nominal,16,none,50,50,70,61,0,9,9,0,0.0,0,18.5,0,10.85
nominal,16,open_loop,50,50,70,64,0,6,6,6,0.8533739059724342,0,20.5,0,8.520674781194487
nominal,16,feedback,50,50,70,70,0,0,0,20,4.711773296937967,0,27.5,0,4.692354659387593
nominal,17,none,47,47,78,62,0,16,16,0,0.0,0,22.5,0,18.25
nominal,17,open_loop,47,47,78,64,0,14,14,6,0.8533739059724342,0,24.5,0,16.92067478119449
nominal,17,feedback,47,47,78,64,0,14,14,6,1.7067478119448685,0,24.5,0,17.091349562388974
nominal,18,none,65,65,75,65,0,10,10,0,0.0,0,30.5,0,13.05
nominal,18,open_loop,65,65,75,68,0,7,7,6,0.8533739059724342,0,27.5,0,10.220674781194486
nominal,18,feedback,65,65,75,75,0,0,0,32,6.529400530244976,0,19.5,0,4.855880106048995
nominal,19,none,62,62,76,65,0,11,11,0,0.0,0,28.5,0,13.85
