time_seconds,angle_radians,angle_degrees,normalized_energy,axial_force_newtons,target_action_squat,target_action_lean,realized_command_squat,realized_command_lean,seat_radius_fraction,taut,cumulative_slack_time_seconds,cumulative_snap_energy_loss_joules
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.333072501879848937e-01,4.901714506055184302e+02,0.000000000000000000e+00,0.000000000000000000e+00,-5.749999999999999556e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,-1.165588730520639160e-04,-6.678331490684407193e-03,1.332747893037855846e-01,4.526632694582155523e+02,7.609394192695617676e-02,-7.506058365106582642e-02,-5.747666547145822147e-01,-9.207057945558765662e-04,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,-5.144890440256233433e-04,-2.947805082838862029e-02,1.331788806421945193e-01,4.274084440266839806e+02,1.556076407432556152e-01,-1.521878838539123535e-01,-5.739365151961195455e-01,-4.180143603404849403e-03,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,-1.282084460837218387e-03,-7.345802858527829271e-02,1.330109645195922119e-01,4.113422090988281070e+02,2.370880097150802612e-01,-2.310265004634857178e-01,-5.722703556297330518e-01,-1.069517461329109846e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,-2.469605693826260051e-03,-1.414979833177220925e-01,1.327662575199682060e-01,4.021430449978833508e+02,3.190514743328094482e-01,-3.112152814865112305e-01,-5.696285291636173920e-01,-2.100834721885682863e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,-4.097984183139669057e-03,-2.347971982052692586e-01,1.324373304302080279e-01,3.981308842055833566e+02,3.999992609024047852e-01,-3.923883736133575439e-01,-5.659513048378120859e-01,-3.538510858231012912e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000094e-01,-6.165622558790051499e-03,-3.532641506893212657e-01,1.320130665381227253e-01,3.981249013554532326e+02,4.784328639507293701e-01,-4.741760194301605225e-01,-5.612431010814432630e-01,-5.388797427637095211e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e-01,-8.653757585456389734e-03,-4.958237865759729801e-01,1.314796187325034948e-01,4.013084378121454847e+02,5.528695583343505859e-01,-5.562057495117187500e-01,-5.555597601437359812e-01,-7.643283854269508626e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-01,-1.153074378017704404e-02,-6.606629532508693226e-01,1.308218816894324288e-01,4.071179075992632193e+02,6.218578815460205078e-01,-6.381029486656188965e-01,-5.489981899604793325e-01,-1.028314825165022039e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.799999999999999933e-01,-1.475553702362741859e-02,-8.454299959028795941e-01,1.300249424600274373e-01,4.151579856439608989e+02,6.839928030967712402e-01,-7.194923758506774902e-01,-5.416878452456284077e-01,-1.328234586351746682e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.999999999999999833e-01,-1.828058908788632309e-02,-1.047400601748793347e+00,1.290753927922548283e-01,4.251397669539873050e+02,7.379303574562072754e-01,-7.999985218048095703e-01,-5.337836357886398542e-01,-1.660998267176502785e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.199999999999999734e-01,-2.205430372266636851e-02,-1.263618523408442940e+00,1.279625513332058873e-01,4.368363733325877547e+02,7.824023365974426270e-01,-8.792470693588256836e-01,-5.254599401336528253e-01,-2.023206698740144804e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999634e-01,-2.602315327148030377e-02,-1.491016852077882371e+00,1.266796694184932903e-01,4.500522353072073543e+02,8.162297606468200684e-01,-9.568657279014587402e-01,-5.169054761813086651e-01,-2.411278912752485570e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.599999999999999534e-01,-3.009303430771526067e-02,-1.724203858574475445e+00,1.250361090333547975e-01,4.869620042436050653e+02,8.060920834541320801e-01,-9.927739500999450684e-01,-5.084177156881386495e-01,-2.816673430230052788e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.799999999999999711e-01,-3.411733762873003784e-02,-1.954779454349103052e+00,1.229555111418680902e-01,5.392995386906178510e+02,7.569265961647033691e-01,-9.872670769691467285e-01,-5.004315378251078528e-01,-3.223537959817163179e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,-3.796913509145305454e-02,-2.175471192502330897e+00,1.206766255318476450e-01,5.781006696439550296e+02,7.030490040779113770e-01,-9.802231192588806152e-01,-4.933411584349099988e-01,-3.616563717644488696e-01,1.000000000000000222e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000067e-01,-4.157658013281295695e-02,-2.382162568197649932e+00,1.184124536826200585e-01,6.055745186491608365e+02,6.447947025299072266e-01,-9.716529250144958496e-01,-4.874074609205264474e-01,-3.985591426978386531e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000244e-01,-4.490627694986670804e-02,-2.572940142872973901e+00,1.163328191286009949e-01,6.236395251078822639e+02,5.825262665748596191e-01,-9.615700244903564453e-01,-4.827913690771232225e-01,-4.324250272108541293e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000422e-01,-4.795031618364786752e-02,-2.747350743640871062e+00,1.145600777159728328e-01,6.340258847950789232e+02,5.166314840316772461e-01,-9.499899744987487793e-01,-4.795793518387573839e-01,-4.628921615068217754e-01,1.000000000000000222e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000600e-01,-5.071659340141643213e-02,-2.905846753182201869e+00,1.131723233223908970e-01,6.382848753980021002e+02,4.475204646587371826e-01,-9.369308352470397949e-01,-4.778028299846711624e-01,-4.897954446253739436e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000777e-01,-5.322188369092550886e-02,-3.049389313226179787e+00,1.122103189221492631e-01,6.377742004975508507e+02,3.756234943866729736e-01,-9.224129319190979004e-01,-4.774528718690226325e-01,-5.131075378412792709e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.200000000000000955e-01,-5.548710499918163563e-02,-3.179176933852358999e+00,1.116856557069611233e-01,6.336483215281449475e+02,3.013881146907806396e-01,-9.064589142799377441e-01,-4.784912631231951763e-01,-5.328948415406229433e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000001132e-01,-5.761226006646902320e-02,-3.300939350018766483e+00,1.114549435852422027e-01,4.462785689232057393e+02,5.734843015670776367e-01,-9.600341320037841797e-01,-4.797910039813817473e-01,-5.501551255991981026e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000001310e-01,-5.965075358813320960e-02,-3.417736425374884757e+00,1.111807787728469471e-01,5.222395958585331073e+02,4.614796638488769531e-01,-9.396407604217529297e-01,-4.808364669393082047e-01,-5.654793211897078953e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000001488e-01,-6.156794727904735254e-02,-3.527583532373373743e+00,1.110344233996220925e-01,5.737743259823480457e+02,3.459156155586242676e-01,-9.161449074745178223e-01,-4.823320990656866369e-01,-5.784950641316265463e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000001110e-01,-6.334365396769703338e-02,-3.629324031286151442e+00,1.111691332502250107e-01,6.060307892118540849e+02,2.288934886455535889e-01,-8.899420499801635742e-01,-4.847493371089204306e-01,-5.889620945134469432e-01,9.999999999999997780e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000001288e-01,-6.496737790850914962e-02,-3.722356560189035601e+00,1.116893581775976474e-01,6.233263962814349952e+02,1.121851950883865356e-01,-8.613690733909606934e-01,-4.883768626133435653e-01,-5.967449768152234268e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000001465e-01,-6.643469081853980995e-02,-3.806427397158851367e+00,1.126451390814044162e-01,6.291828989272042918e+02,-2.666808664798736572e-03,-8.307280540466308594e-01,-4.933618817004025159e-01,-6.017903133418354145e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000001643e-01,-6.774473337691455654e-02,-3.881487306736245202e+00,1.140387925847851647e-01,6.264264164050512136e+02,-1.143040135502815247e-01,-7.983019948005676270e-01,-4.997436242820500474e-01,-6.041081666596058719e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.800000000000001821e-01,-6.889865666172800829e-02,-3.947602240837928544e+00,1.158363433891227839e-01,6.173059577602767831e+02,-2.215378880500793457e-01,-7.643625140190124512e-01,-5.074803620989293274e-01,-6.037571770773522140e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000001998e-01,-6.989876945832973476e-02,-4.004904483120233394e+00,1.179796426684586869e-01,6.036065992631633890e+02,-3.233501911163330078e-01,-7.291737794876098633e-01,-5.164711579923160212e-01,-6.008327768015315762e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.200000000000002176e-01,-7.074816851466314560e-02,-4.053571464170532046e+00,1.203972088278972147e-01,5.867491036746326927e+02,-4.188993871212005615e-01,-6.929922103881835938e-01,-5.265733892786201853e-01,-5.954579056938951176e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000000002354e-01,-7.145066471863881219e-02,-4.093821531782299239e+00,1.230130054503176251e-01,5.678712222476162879e+02,-5.075253844261169434e-01,-6.560647487640380859e-01,-5.376168943744608075e-01,-5.877756845683772546e-01,1.000000000000000222e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.600000000000002531e-01,-7.201086030982573050e-02,-4.125918374859145921e+00,1.257530036746170310e-01,5.478922660457182019e+02,-5.887508392333984375e-01,-6.186249852180480957e-01,-5.494154077966884042e-01,-5.779435753322099689e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000002709e-01,-7.243427204679964149e-02,-4.150178080384054446e+00,1.285496826676991722e-01,5.275619667468371290e+02,-6.622774004936218262e-01,-5.808891057968139648e-01,-5.617757937523729650e-01,-5.661286383716700454e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000002887e-01,-7.272742945850829699e-02,-4.166974762807939214e+00,1.313447520206510732e-01,5.074954618683064496e+02,-7.279750108718872070e-01,-5.430506467819213867e-01,-5.745054577906421045e-01,-5.525035734302365942e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.200000000000003064e-01,-7.289790488380454292e-02,-4.176742285188112191e+00,1.340904224197374817e-01,4.881969228954615119e+02,-7.858651280403137207e-01,-5.052751302719116211e-01,-5.874182134711612990e-01,-5.372432936612118182e-01,9.999999999999997780e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.400000000000003242e-01,-7.295425518273424004e-02,-4.179970919491084125e+00,1.367495430480189234e-01,4.700735588202084045e+02,-8.360977172851562500e-01,-4.676960110664367676e-01,-6.003388050469430359e-01,-5.205218623472920303e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.600000000000003419e-01,-7.290587244025248381e-02,-4.177198792545611106e+00,1.392949087387625740e-01,4.534430369826425249e+02,-8.789231181144714355e-01,-4.304108023643493652e-01,-6.131062326206366819e-01,-5.025096823457235740e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.800000000000003597e-01,-7.276275471220650104e-02,-4.168998750755075200e+00,1.417080079561611750e-01,4.385364688088545790e+02,-9.146606326103210449e-01,-3.934800028800964355e-01,-6.255759934882150208e-01,-4.833708925411502877e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000003775e-01,-7.253521768987480911e-02,-4.155961839692495552e+00,1.439774612282492816e-01,4.255004486574543989e+02,-9.436667561531066895e-01,-3.569275140762329102e-01,-6.376213416127314293e-01,-4.632609822092672025e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.200000000000003952e-01,-7.223357357511472898e-02,-4.138678905001783370e+00,1.460973610617491425e-01,4.143999210992266740e+02,-9.663051962852478027e-01,-3.207434415817260742e-01,-6.491336703488141957e-01,-4.423246686805647476e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.400000000000004130e-01,-7.186780575234985591e-02,-4.117721952475666747e+00,1.480656845790101483e-01,4.052237118756881387e+02,-9.829211831092834473e-01,-2.848888635635375977e-01,-6.600221356500959313e-01,-4.206941097986121592e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.600000000000004308e-01,-7.144726629038933297e-02,-4.093626816186626272e+00,1.498829020858555849e-01,3.978933845763430668e+02,-9.938215017318725586e-01,-2.493017911911010742e-01,-6.702126523633854527e-01,-3.984875238334654735e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
