metric,component,spacecraft,value,unit,metrics_sha256
plan.identity_sha256,,,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb,sha256,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
plan.alpha_deg_per_day2,,,0.054450305970658669,degree/day^2,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
plan.d_km_per_day,,,0.045157234506305814,km/day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
plan.primary_max_final_extra_loss_km,,,1.3123227020464072,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
plan.refined_max_final_extra_loss_km,,,1.3123227030464073,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
plan.primary_total_variation,,,33.701180998117451,dimensionless,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
plan.refined_total_variation,,,2,dimensionless,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
plan.command_min,,,-0,dimensionless,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
plan.command_max,,,1,dimensionless,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
plan.equivalent_high_drag_days,0,Leader,29.024453307692305,day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
plan.equivalent_high_drag_days,1,Follower 1,29.04496131875522,day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
plan.equivalent_high_drag_days,2,Follower 2,29.061184047113265,day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_extra_altitude_loss_km,0,Leader,1.3106640444327848,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_extra_altitude_loss_km,1,Follower 1,1.3115901294976124,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_extra_altitude_loss_km,2,Follower 2,1.3123227030464073,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_altitude_km,0,Leader,473.68933595556723,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_altitude_km,1,Follower 1,473.68840987050237,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_altitude_km,2,Follower 2,473.68767729695361,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_cyclic_gap_deg,0,Leader,119.90000000000023,degree,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_cyclic_gap_deg,1,Follower 1,119.99999999999903,degree,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_cyclic_gap_deg,2,Follower 2,-239.89999999999927,degree,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_cyclic_gap_error_deg,0,Leader,-0.099999999999766942,degree,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_cyclic_gap_error_deg,1,Follower 1,-9.6633812063373625e-13,degree,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_cyclic_gap_error_deg,2,Follower 2,0.10000000000073328,degree,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.max_abs_final_cyclic_gap_error_deg,,,0.10000000000073328,degree,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_cyclic_relative_rate_deg_per_day,0,Leader,0.0011166674772293828,degree/day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_cyclic_relative_rate_deg_per_day,1,Follower 1,0.00088333252277061902,degree/day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.final_cyclic_relative_rate_deg_per_day,2,Follower 2,-0.0020000000000000018,degree/day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.max_abs_final_cyclic_relative_rate_deg_per_day,,,0.0020000000000000018,degree/day,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nominal_linear.max_dynamics_residual,,,0,dimensionless,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.final_extra_altitude_loss_km,0,Leader,1.2620739885251169,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.final_extra_altitude_loss_km,1,Follower 1,1.2692986062129421,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
nonlinear_replay.final_extra_altitude_loss_km,2,Follower 2,1.2878549990164174,km,dcaf36b6e5d8b943d80dcb430db143b3b64134b83eae58d902d76762966c5f8e
