day,interval_start_day,interval_end_day,leader_high_drag_fraction,follower_1_high_drag_fraction,follower_2_high_drag_fraction,plan_identity_sha256
0,0,1,0,0.16136089621530722,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
1,1,2,0,0.16136089621530722,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
2,2,3,0,0.16136089621530722,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
3,3,4,0,0.16136089621530722,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
4,4,5,0,0.16136089621530722,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
5,5,6,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
6,6,7,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
7,7,8,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
8,8,9,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
9,9,10,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
10,10,11,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
11,11,12,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
12,12,13,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
13,13,14,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
14,14,15,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
15,15,16,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
16,16,17,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
17,17,18,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
18,18,19,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
19,19,20,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
20,20,21,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
21,21,22,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
22,22,23,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
23,23,24,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
24,24,25,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
25,25,26,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
26,26,27,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
27,27,28,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
28,28,29,0,0.16136089621530708,1,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
29,29,30,0,0.16136089621530708,0.061184047113265944,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
30,30,31,0,0.16136089621530708,-0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
31,31,32,0,0.16136089621530708,-0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
32,32,33,0,0.16136089621530708,-0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
33,33,34,0,0.16136089621530708,-0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
34,34,35,0,0.16136089621530708,-0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
35,35,36,0,0.16136089621530708,-0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
36,36,37,0,0.16136089621530708,-0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
37,37,38,0,0.16136089621530708,-0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
38,38,39,0,0.16136089621530708,-0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
39,39,40,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
40,40,41,0,0.16136089621530708,-0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
41,41,42,0,0.16136089621530708,-0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
42,42,43,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
43,43,44,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
44,44,45,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
45,45,46,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
46,46,47,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
47,47,48,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
48,48,49,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
49,49,50,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
50,50,51,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
51,51,52,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
52,52,53,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
53,53,54,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
54,54,55,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
55,55,56,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
56,56,57,0,0.16136089621530708,-0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
57,57,58,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
58,58,59,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
59,59,60,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
60,60,61,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
61,61,62,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
62,62,63,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
63,63,64,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
64,64,65,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
65,65,66,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
66,66,67,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
67,67,68,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
68,68,69,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
69,69,70,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
70,70,71,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
71,71,72,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
72,72,73,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
73,73,74,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
74,74,75,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
75,75,76,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
76,76,77,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
77,77,78,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
78,78,79,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
79,79,80,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
80,80,81,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
81,81,82,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
82,82,83,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
83,83,84,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
84,84,85,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
85,85,86,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
86,86,87,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
87,87,88,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
88,88,89,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
89,89,90,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
90,90,91,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
91,91,92,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
92,92,93,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
93,93,94,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
