split,block_id,workload_phase,requested_power_limit_w,time_s,preceding_interval_mean_power_w,observed_temperature_c,observed_temperature_rise_c,power_only_predicted_temperature_c,power_only_predicted_temperature_rise_c,phase_gain_predicted_temperature_c,phase_gain_predicted_temperature_rise_c
validation,phase_validation_pulse_00,decode,55,0,,54,0,54,0,54,0
validation,phase_validation_pulse_00,decode,55,1,39.954832499109685,55,1,54.220151323363815,0.22015132336381527,54.194363126264435,0.19436312626443453
validation,phase_validation_pulse_00,decode,55,2,54.640334525527095,56,2,54.680559464174621,0.6805594641746211,54.620573271412923,0.62057327141292262
validation,phase_validation_pulse_00,decode,55,3,53.754592599989053,56,2,55.113687033956793,1.1136870339567935,55.019055727169736,1.0190557271697358
validation,phase_validation_pulse_00,decode,55,4,53.867491440749902,56,2,55.537012732079475,1.5370127320794751,55.406861518065739,1.4068615180657389
validation,phase_validation_pulse_00,decode,55,5,54.852509139082677,57,3,55.965422199093908,1.9654221990939078,55.798456525649996,1.7984565256499963
validation,phase_validation_pulse_00,decode,55,6,53.437396354146863,57,3,56.358540221441224,2.3585402214412241,56.154832889586928,2.1548328895869275
validation,phase_validation_pulse_00,decode,55,7,54.62695250496634,57,3,56.760986698344915,2.7609866983449152,56.519298953917662,2.5192989539176622
validation,phase_validation_pulse_00,decode,55,8,55.451994271517457,59,5,57.166398710421475,3.1663987104214755,56.885694662312119,2.8856946623121189
validation,phase_validation_pulse_00,decode,55,9,55.649237482718192,58,4,57.564171206482641,3.5641712064826407,57.243787332890058,3.2437873328900579
validation,phase_validation_pulse_00,decode,55,10,55.114960034285993,58,4,57.942246584959769,3.9422465849597685,57.581984832510486,3.5819848325104857
validation,phase_validation_pulse_00,decode,55,11,53.997912426319381,58,4,58.291386591527306,4.2913865915273064,57.891469015924535,3.8914690159245353
validation,phase_validation_pulse_00,decode,55,12,54.604170670818,58,4,58.641263544213132,4.6412635442131318,58.201063475856088,4.2010634758560883
validation,phase_validation_pulse_00,decode,55,13,55.340082114607597,60,6,58.994031168237228,4.9940311682372283,58.512865501956838,4.5128655019568384
validation,phase_validation_pulse_00,decode,55,14,56.020476743437492,59,5,59.34868068046638,5.34868068046638,58.825906281823059,4.8259062818230589
