bin_index,bin_start_minutes,local_time,station_name,mean_completed_starts,mean_completed_ends,training_day_count
0,0,07:00,Berri / Cherrier,0.767441860465,1.930232558140,43
0,0,07:00,Prince-Arthur / St-Urbain,1.139534883721,0.325581395349,43
0,0,07:00,de Maisonneuve / Aylmer (ouest),0.023255813953,0.627906976744,43
1,15,07:15,Berri / Cherrier,1.418604651163,1.627906976744,43
1,15,07:15,Prince-Arthur / St-Urbain,1.116279069767,0.302325581395,43
1,15,07:15,de Maisonneuve / Aylmer (ouest),0.139534883721,0.883720930233,43
2,30,07:30,Berri / Cherrier,1.930232558140,2.186046511628,43
2,30,07:30,Prince-Arthur / St-Urbain,0.953488372093,0.465116279070,43
2,30,07:30,de Maisonneuve / Aylmer (ouest),0.116279069767,2.348837209302,43
3,45,07:45,Berri / Cherrier,2.116279069767,2.255813953488,43
3,45,07:45,Prince-Arthur / St-Urbain,1.976744186047,1.930232558140,43
3,45,07:45,de Maisonneuve / Aylmer (ouest),0.046511627907,4.279069767442,43
4,60,08:00,Berri / Cherrier,3.209302325581,2.162790697674,43
4,60,08:00,Prince-Arthur / St-Urbain,2.511627906977,1.860465116279,43
4,60,08:00,de Maisonneuve / Aylmer (ouest),0.162790697674,4.418604651163,43
5,75,08:15,Berri / Cherrier,4.720930232558,2.837209302326,43
5,75,08:15,Prince-Arthur / St-Urbain,2.232558139535,1.232558139535,43
5,75,08:15,de Maisonneuve / Aylmer (ouest),0.302325581395,7.837209302326,43
6,90,08:30,Berri / Cherrier,5.558139534884,2.930232558140,43
6,90,08:30,Prince-Arthur / St-Urbain,3.162790697674,1.488372093023,43
6,90,08:30,de Maisonneuve / Aylmer (ouest),0.279069767442,7.465116279070,43
7,105,08:45,Berri / Cherrier,5.000000000000,1.930232558140,43
7,105,08:45,Prince-Arthur / St-Urbain,4.372093023256,2.093023255814,43
7,105,08:45,de Maisonneuve / Aylmer (ouest),0.511627906977,5.279069767442,43
8,120,09:00,Berri / Cherrier,3.372093023256,1.511627906977,43
8,120,09:00,Prince-Arthur / St-Urbain,2.162790697674,1.000000000000,43
8,120,09:00,de Maisonneuve / Aylmer (ouest),0.395348837209,2.069767441860,43
9,135,09:15,Berri / Cherrier,2.162790697674,1.441860465116,43
9,135,09:15,Prince-Arthur / St-Urbain,1.511627906977,0.720930232558,43
9,135,09:15,de Maisonneuve / Aylmer (ouest),0.534883720930,1.325581395349,43
10,150,09:30,Berri / Cherrier,2.906976744186,1.860465116279,43
10,150,09:30,Prince-Arthur / St-Urbain,1.023255813953,0.790697674419,43
10,150,09:30,de Maisonneuve / Aylmer (ouest),0.488372093023,1.558139534884,43
11,165,09:45,Berri / Cherrier,2.139534883721,1.674418604651,43
11,165,09:45,Prince-Arthur / St-Urbain,1.116279069767,0.860465116279,43
11,165,09:45,de Maisonneuve / Aylmer (ouest),0.395348837209,1.697674418605,43
