time_minutes,timestamp_ms,timestamp_local,station_name,kind
4.426233,1720091065574,2024-07-04T07:04:25.574-04:00,Berri / Cherrier,rental
7.677467,1720091260648,2024-07-04T07:07:40.648-04:00,Berri / Cherrier,rental
8.228283,1720091293697,2024-07-04T07:08:13.697-04:00,Prince-Arthur / St-Urbain,rental
8.665800,1720091319948,2024-07-04T07:08:39.948-04:00,de Maisonneuve / Aylmer (ouest),return
10.522167,1720091431330,2024-07-04T07:10:31.330-04:00,Prince-Arthur / St-Urbain,rental
11.501883,1720091490113,2024-07-04T07:11:30.113-04:00,de Maisonneuve / Aylmer (ouest),return
14.138600,1720091648316,2024-07-04T07:14:08.316-04:00,de Maisonneuve / Aylmer (ouest),return
14.839000,1720091690340,2024-07-04T07:14:50.340-04:00,Berri / Cherrier,rental
14.887317,1720091693239,2024-07-04T07:14:53.239-04:00,Berri / Cherrier,rental
15.236283,1720091714177,2024-07-04T07:15:14.177-04:00,Prince-Arthur / St-Urbain,rental
16.513883,1720091790833,2024-07-04T07:16:30.833-04:00,Prince-Arthur / St-Urbain,return
19.847367,1720091990842,2024-07-04T07:19:50.842-04:00,Berri / Cherrier,rental
21.619717,1720092097183,2024-07-04T07:21:37.183-04:00,Berri / Cherrier,rental
27.610733,1720092456644,2024-07-04T07:27:36.644-04:00,Berri / Cherrier,return
29.593983,1720092575639,2024-07-04T07:29:35.639-04:00,Berri / Cherrier,rental
30.961683,1720092657701,2024-07-04T07:30:57.701-04:00,Berri / Cherrier,return
32.967967,1720092778078,2024-07-04T07:32:58.078-04:00,de Maisonneuve / Aylmer (ouest),rental
34.056517,1720092843391,2024-07-04T07:34:03.391-04:00,Prince-Arthur / St-Urbain,rental
34.936483,1720092896189,2024-07-04T07:34:56.189-04:00,de Maisonneuve / Aylmer (ouest),return
35.449283,1720092926957,2024-07-04T07:35:26.957-04:00,Berri / Cherrier,rental
37.052350,1720093023141,2024-07-04T07:37:03.141-04:00,Berri / Cherrier,rental
37.153967,1720093029238,2024-07-04T07:37:09.238-04:00,Berri / Cherrier,rental
37.274133,1720093036448,2024-07-04T07:37:16.448-04:00,de Maisonneuve / Aylmer (ouest),return
38.541883,1720093112513,2024-07-04T07:38:32.513-04:00,de Maisonneuve / Aylmer (ouest),return
40.856950,1720093251417,2024-07-04T07:40:51.417-04:00,Berri / Cherrier,return
40.978917,1720093258735,2024-07-04T07:40:58.735-04:00,Berri / Cherrier,return
41.249733,1720093274984,2024-07-04T07:41:14.984-04:00,de Maisonneuve / Aylmer (ouest),return
41.639033,1720093298342,2024-07-04T07:41:38.342-04:00,Berri / Cherrier,return
44.375767,1720093462546,2024-07-04T07:44:22.546-04:00,Berri / Cherrier,rental
44.675433,1720093480526,2024-07-04T07:44:40.526-04:00,de Maisonneuve / Aylmer (ouest),rental
44.869283,1720093492157,2024-07-04T07:44:52.157-04:00,de Maisonneuve / Aylmer (ouest),return
44.896183,1720093493771,2024-07-04T07:44:53.771-04:00,de Maisonneuve / Aylmer (ouest),return
46.100050,1720093566003,2024-07-04T07:46:06.003-04:00,Berri / Cherrier,return
47.425233,1720093645514,2024-07-04T07:47:25.514-04:00,Berri / Cherrier,return
47.563933,1720093653836,2024-07-04T07:47:33.836-04:00,Prince-Arthur / St-Urbain,rental
49.146967,1720093748818,2024-07-04T07:49:08.818-04:00,de Maisonneuve / Aylmer (ouest),return
49.979750,1720093798785,2024-07-04T07:49:58.785-04:00,de Maisonneuve / Aylmer (ouest),return
50.235150,1720093814109,2024-07-04T07:50:14.109-04:00,Prince-Arthur / St-Urbain,return
50.735483,1720093844129,2024-07-04T07:50:44.129-04:00,Berri / Cherrier,return
51.329933,1720093879796,2024-07-04T07:51:19.796-04:00,Prince-Arthur / St-Urbain,rental
52.307517,1720093938451,2024-07-04T07:52:18.451-04:00,de Maisonneuve / Aylmer (ouest),return
53.193017,1720093991581,2024-07-04T07:53:11.581-04:00,de Maisonneuve / Aylmer (ouest),return
54.661200,1720094079672,2024-07-04T07:54:39.672-04:00,de Maisonneuve / Aylmer (ouest),return
56.276317,1720094176579,2024-07-04T07:56:16.579-04:00,de Maisonneuve / Aylmer (ouest),return
56.583750,1720094195025,2024-07-04T07:56:35.025-04:00,Prince-Arthur / St-Urbain,rental
57.874300,1720094272458,2024-07-04T07:57:52.458-04:00,Berri / Cherrier,return
58.440600,1720094306436,2024-07-04T07:58:26.436-04:00,Berri / Cherrier,rental
59.196100,1720094351766,2024-07-04T07:59:11.766-04:00,de Maisonneuve / Aylmer (ouest),return
59.613083,1720094376785,2024-07-04T07:59:36.785-04:00,Prince-Arthur / St-Urbain,return
59.972983,1720094398379,2024-07-04T07:59:58.379-04:00,Berri / Cherrier,rental
60.074167,1720094404450,2024-07-04T08:00:04.450-04:00,Berri / Cherrier,rental
61.285067,1720094477104,2024-07-04T08:01:17.104-04:00,de Maisonneuve / Aylmer (ouest),return
62.225483,1720094533529,2024-07-04T08:02:13.529-04:00,Prince-Arthur / St-Urbain,rental
63.707850,1720094622471,2024-07-04T08:03:42.471-04:00,de Maisonneuve / Aylmer (ouest),return
65.216333,1720094712980,2024-07-04T08:05:12.980-04:00,Berri / Cherrier,rental
65.408317,1720094724499,2024-07-04T08:05:24.499-04:00,Prince-Arthur / St-Urbain,return
65.612483,1720094736749,2024-07-04T08:05:36.749-04:00,Berri / Cherrier,return
65.951400,1720094757084,2024-07-04T08:05:57.084-04:00,Prince-Arthur / St-Urbain,rental
66.544583,1720094792675,2024-07-04T08:06:32.675-04:00,de Maisonneuve / Aylmer (ouest),return
66.707700,1720094802462,2024-07-04T08:06:42.462-04:00,de Maisonneuve / Aylmer (ouest),return
68.916150,1720094934969,2024-07-04T08:08:54.969-04:00,Berri / Cherrier,rental
70.225817,1720095013549,2024-07-04T08:10:13.549-04:00,Berri / Cherrier,return
71.272333,1720095076340,2024-07-04T08:11:16.340-04:00,Berri / Cherrier,return
71.496567,1720095089794,2024-07-04T08:11:29.794-04:00,Prince-Arthur / St-Urbain,rental
71.980400,1720095118824,2024-07-04T08:11:58.824-04:00,Berri / Cherrier,rental
72.083767,1720095125026,2024-07-04T08:12:05.026-04:00,de Maisonneuve / Aylmer (ouest),return
75.404083,1720095324245,2024-07-04T08:15:24.245-04:00,Berri / Cherrier,return
75.506833,1720095330410,2024-07-04T08:15:30.410-04:00,de Maisonneuve / Aylmer (ouest),return
75.761550,1720095345693,2024-07-04T08:15:45.693-04:00,Prince-Arthur / St-Urbain,rental
76.639267,1720095398356,2024-07-04T08:16:38.356-04:00,Prince-Arthur / St-Urbain,rental
76.838683,1720095410321,2024-07-04T08:16:50.321-04:00,Prince-Arthur / St-Urbain,rental
77.332167,1720095439930,2024-07-04T08:17:19.930-04:00,de Maisonneuve / Aylmer (ouest),return
77.983717,1720095479023,2024-07-04T08:17:59.023-04:00,Prince-Arthur / St-Urbain,return
78.612433,1720095516746,2024-07-04T08:18:36.746-04:00,de Maisonneuve / Aylmer (ouest),return
79.522583,1720095571355,2024-07-04T08:19:31.355-04:00,Berri / Cherrier,rental
79.599817,1720095575989,2024-07-04T08:19:35.989-04:00,Berri / Cherrier,rental
80.226900,1720095613614,2024-07-04T08:20:13.614-04:00,Prince-Arthur / St-Urbain,return
80.394933,1720095623696,2024-07-04T08:20:23.696-04:00,de Maisonneuve / Aylmer (ouest),return
80.519817,1720095631189,2024-07-04T08:20:31.189-04:00,Berri / Cherrier,return
80.590050,1720095635403,2024-07-04T08:20:35.403-04:00,Berri / Cherrier,rental
80.889350,1720095653361,2024-07-04T08:20:53.361-04:00,de Maisonneuve / Aylmer (ouest),return
81.256833,1720095675410,2024-07-04T08:21:15.410-04:00,Berri / Cherrier,rental
81.269333,1720095676160,2024-07-04T08:21:16.160-04:00,Prince-Arthur / St-Urbain,rental
81.891983,1720095713519,2024-07-04T08:21:53.519-04:00,Berri / Cherrier,rental
