TIMESTAMP,ContextTokens,GeneratedTokens
2023-11-16 18:17:03.9799600,4808,10
2023-11-16 18:17:04.0319600,3180,8
2023-11-16 18:17:04.0781490,110,27
2023-11-16 18:17:04.1206440,7433,14
2023-11-16 18:17:04.4249540,34,12
2023-11-16 18:17:04.5191470,374,14
2023-11-16 18:17:04.6785310,6985,9
2023-11-16 18:17:04.9960010,34,23
2023-11-16 18:17:05.2792720,1145,7
2023-11-16 18:17:05.2792970,201,24
2023-11-16 18:17:05.3788820,137,9
2023-11-16 18:17:05.3790470,7427,8
2023-11-16 18:17:33.4590290,1555,19
2023-11-16 18:17:33.5603670,3893,19
2023-11-16 18:17:33.5902850,1827,10
2023-11-16 18:17:33.6591130,394,17
2023-11-16 18:17:33.6974480,675,6
2023-11-16 18:17:34.1578290,7436,9
2023-11-16 18:17:34.2056910,158,26
2023-11-16 18:17:34.4626860,6587,18
