TIMESTAMP,ContextTokens,GeneratedTokens
2023-11-16 18:17:03.9799600,4808,10
2023-11-16 18:17:04.0319600,3180,8
2023-11-16 18:17:04.0781490,110,27
2023-11-16 18:17:04.1206440,7433,14
2023-11-16 18:17:04.4249540,34,12
2023-11-16 18:17:04.5191470,374,14
2023-11-16 18:17:04.6785310,6985,9
2023-11-16 18:17:04.9960010,34,23
2023-11-16 18:17:05.2792720,1145,7
2023-11-16 18:17:05.2792970,201,24
2023-11-16 18:17:05.3788820,137,9
2023-11-16 18:17:05.3790470,7427,8
2023-11-16 18:17:33.4590290,1555,19
2023-11-16 18:17:33.5603670,3893,19
2023-11-16 18:17:33.5902850,1827,10
2023-11-16 18:17:33.6591130,394,17
2023-11-16 18:17:33.6974480,675,6
2023-11-16 18:17:34.1578290,7436,9
2023-11-16 18:17:34.2056910,158,26
2023-11-16 18:17:34.4626860,6587,18
2023-11-16 18:17:34.4834190,763,8
2023-11-16 18:17:34.9636150,1556,18
2023-11-16 18:17:35.2653760,5108,12
2023-11-16 18:17:35.4346470,159,127
2023-11-16 18:17:35.4349770,458,67
2023-11-16 18:17:35.6199820,2464,30
2023-11-16 18:17:35.7870820,4009,51
2023-11-16 18:17:36.6073420,1632,9
2023-11-16 18:17:36.6879210,2567,45
2023-11-16 18:17:37.0599550,730,36
2023-11-16 18:17:37.3200350,5108,10
2023-11-16 18:17:37.5140380,2569,7
2023-11-16 18:17:37.5592100,1832,7
2023-11-16 18:17:37.5666080,1630,9
2023-11-16 18:17:37.6596680,6587,13
2023-11-16 18:17:37.6614270,7436,6
2023-11-16 18:17:37.7609680,1044,16
2023-11-16 18:17:37.8600230,327,124
2023-11-16 18:17:37.9629950,1630,9
2023-11-16 18:17:38.2643990,3351,9
2023-11-16 18:17:38.4258680,1562,18
2023-11-16 18:17:38.8589320,3724,9
2023-11-16 18:17:38.9591490,328,43
2023-11-16 18:17:39.0140830,965,8
2023-11-16 18:17:39.3271100,6586,11
2023-11-16 18:17:39.3344600,2366,7
2023-11-16 18:17:39.7793180,328,40
2023-11-16 18:17:39.9609510,1513,29
2023-11-16 18:17:40.2604470,328,9
2023-11-16 18:17:40.6293580,2025,9
2023-11-16 18:17:40.6839860,2169,13
2023-11-16 18:17:40.7590070,74,14
2023-11-16 18:17:41.3593830,771,142
2023-11-16 18:17:41.4031300,76,18
2023-11-16 18:17:41.8781620,75,16
2023-11-16 18:17:42.0597510,527,27
2023-11-16 18:17:42.1913750,2024,97
2023-11-16 18:17:42.6604980,197,7
2023-11-16 18:17:42.6714890,109,12
2023-11-16 18:17:42.8671120,432,10
2023-11-16 18:17:43.0605840,2025,19
2023-11-16 18:17:43.2659260,6586,9
2023-11-16 18:17:43.3074770,7435,9
2023-11-16 18:20:07.0417510,2648,15
2023-11-16 18:20:07.1378960,2564,9
2023-11-16 18:20:07.1389820,3245,15
2023-11-16 18:20:07.2401320,2144,9
2023-11-16 18:20:07.4380340,2128,13
2023-11-16 18:20:07.4398690,7436,8
2023-11-16 18:20:07.5427950,250,6
2023-11-16 18:20:07.6365140,1177,23
2023-11-16 18:20:07.6365680,2743,38
2023-11-16 18:20:11.1393020,144,18
2023-11-16 18:20:11.2382670,88,19
2023-11-16 18:20:11.2389890,6819,82
2023-11-16 18:20:11.3415180,1179,13
2023-11-16 18:20:11.5385310,3154,9
2023-11-16 18:20:11.5393560,7435,13
2023-11-16 18:20:11.5457000,2656,11
2023-11-16 18:20:11.6413000,236,226
2023-11-16 18:20:12.2353310,90,25
2023-11-16 18:20:12.2366600,3631,15
2023-11-16 18:20:12.2393600,1901,20
2023-11-16 18:20:12.2421720,318,9
2023-11-16 18:20:12.3341300,4556,16
2023-11-16 18:20:12.3420880,5925,52
2023-11-16 18:20:12.3441260,43,33
2023-11-16 18:20:12.3462910,134,18
2023-11-16 18:20:12.4342300,163,13
2023-11-16 18:20:12.4376040,3286,15
2023-11-16 18:20:12.4382300,522,14
2023-11-16 18:20:12.5414010,583,6
2023-11-16 18:20:15.0788670,318,7
2023-11-16 18:20:15.3391640,147,17
2023-11-16 18:20:15.3393180,5025,17
2023-11-16 18:20:15.5380680,4557,9
2023-11-16 18:20:15.6387730,1468,6
2023-11-16 18:20:15.6389060,164,18
2023-11-16 18:20:15.6398750,584,24
2023-11-16 18:20:16.1421010,523,9
2023-11-16 18:20:16.3346420,61,9
2023-11-16 18:20:16.3357640,1724,11
2023-11-16 18:20:16.3439010,1891,16
2023-11-16 18:20:16.3439240,2507,6
2023-11-16 18:20:16.4378590,2147,22
2023-11-16 18:20:16.4379490,3066,6
2023-11-16 18:20:16.4404990,118,9
2023-11-16 18:20:16.4405490,2657,11
2023-11-16 18:20:16.4416810,4556,25
2023-11-16 18:20:16.5408240,5926,121
2023-11-16 18:20:16.5430190,7435,6
2023-11-16 18:20:16.6351580,149,20
2023-11-16 18:20:19.2425880,3658,6
2023-11-16 18:20:19.3419180,3397,7
2023-11-16 18:20:19.3420580,5927,21
2023-11-16 18:20:19.3431200,1894,7
2023-11-16 18:20:19.4341430,2647,6
2023-11-16 18:20:19.4429190,169,25
2023-11-16 18:20:19.5398400,138,29
2023-11-16 18:20:19.6362870,5928,6
2023-11-16 18:20:19.6391260,154,7
2023-11-16 18:20:19.6404590,1107,13
2023-11-16 18:20:19.7393140,1894,19
2023-11-16 18:20:19.9389890,2647,12
2023-11-16 18:20:19.9404840,1182,18
2023-11-16 18:20:19.9421790,1650,11
2023-11-16 18:20:20.0340900,5538,697
