split,sequence,block_id,workload_phase,prompt_tokens,output_tokens,concurrency,requested_power_limit_w,requested_clock_mhz,batch_index,request_index,prompt_tokens_observed,completion_tokens,ttft_s,tpot_s,total_s,start_elapsed_s,end_elapsed_s
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,0,128,32,0.934176162999961,0.10070893203225839,4.056153055999971,527.485774006,531.541927062
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,1,128,32,0.9348662070000273,0.10070942399999783,4.05685835099996,527.484923986,531.541782337
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,2,128,32,0.9341671209999731,0.10068402100000273,4.055371772000058,527.486150278,531.54152205
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,3,128,32,0.9335573240000485,0.10068950896774251,4.054932102000066,527.486655588,531.54158769
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,4,128,32,0.5020919529999901,0.11137488870967753,3.9547135029999936,527.485178546,531.439892049
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,5,128,32,0.9337643709999384,0.10070075558064673,4.055487793999987,527.486376423,531.541864217
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,6,128,32,0.9341835100000253,0.10070334822580662,4.055987305000031,527.485431063,531.541418368
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,7,128,32,0.9357730959999344,0.10065127061290563,4.055962485000009,527.48461923,531.540581715
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,0,128,32,0.6719311809999908,0.10089906229032133,3.799802111999952,531.547202305,535.347004417
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,1,128,32,0.6753258459999643,0.10089890096774143,3.8031917759999487,531.543906708,535.347098484
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,2,128,32,0.15029029200002242,0.11455636051612733,3.7015374679999695,531.544175481,535.245712949
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,3,128,32,0.6742714990000422,0.10085043912903119,3.800635112000009,531.545188804,535.345823916
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,4,128,32,0.6747164089999842,0.10086675896774332,3.801585937000027,531.544673785,535.346259722
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,5,128,32,0.6744911619999812,0.10091593612903507,3.802885182000068,531.544409172,535.347294354
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,6,128,32,0.674421303000031,0.10089088009677256,3.8020385859999806,531.544895128,535.346933714
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,7,128,32,0.675433632000022,0.10089709199999766,3.8032434839999496,531.543603296,535.34684678
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,2,0,128,32,0.6817390930000329,0.1007529121935484,3.8050793710000335,535.350094176,539.155173547
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,2,1,128,32,0.1570401540000148,0.11442266532257998,3.7041427789999943,535.349438568,539.053581347
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,2,2,128,32,0.6825392859999511,0.10069923361290435,3.804215527999986,535.350327308,539.154542836
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,2,3,128,32,0.6804036809999161,0.10074605341935694,3.8035313369999812,535.35158131,539.155112647
