split,sequence,block_id,workload_phase,prompt_tokens,output_tokens,concurrency,requested_power_limit_w,requested_clock_mhz,batch_index,request_index,prompt_tokens_observed,completion_tokens,ttft_s,tpot_s,total_s,start_elapsed_s,end_elapsed_s
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,0,0,128,128,1.0978316929999892,0.10160142370078774,14.001212503000033,911.176762275,925.177974778
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,0,1,128,128,1.0971091129999877,0.10161245914173199,14.00189142399995,911.17702064,925.178912064
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,0,2,128,128,1.0962045520000174,0.10160374367716589,13.999879999000086,911.177591132,925.1774711310001
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,0,3,128,128,1.0960649930000272,0.10160865269291283,14.000363884999956,911.178212978,925.178576863
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,0,4,128,128,1.0961666379999997,0.10161242915748023,14.000945140999988,911.1778183,925.178763441
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,0,5,128,128,1.095830761000002,0.10160915029133934,14.000192848000097,911.178657459,925.1788503070001
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,0,6,128,128,0.5262879850000672,0.10530061558267699,13.899466164000046,911.177268863,925.076735027
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,0,7,128,128,1.097749484000019,0.10160279001574803,14.001303816000018,911.17645558,925.177759396
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,1,0,128,128,0.17320756900005563,0.10657432906299168,13.708147359999998,925.181018537,938.889165897
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,1,1,128,128,0.9091413999999531,0.10158434734645702,13.810353512999995,925.181263883,938.991617396
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,1,2,128,128,0.9083981990000893,0.10158052925984212,13.80912541500004,925.182166696,938.991292111
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,1,3,128,128,0.9079361159999735,0.10157612487401592,13.808103974999995,925.182701905,938.99080588
