split,sequence,block_id,workload_phase,prompt_tokens,output_tokens,concurrency,requested_power_limit_w,requested_clock_mhz,batch_index,request_index,prompt_tokens_observed,completion_tokens,ttft_s,tpot_s,total_s,start_elapsed_s,end_elapsed_s
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,0,0,128,32,0.517640087000018,0.1165767624193545,4.131519722000007,519.175470759,523.306990481
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,0,1,128,32,1.0860267479999948,0.10156369254838732,4.234501217000002,519.174747297,523.409248514
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,0,2,128,32,1.0866651329999968,0.10155404741935341,4.234840602999952,519.174481274,523.4093218769999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,0,3,128,32,1.0841193730000214,0.10153569364516193,4.231725876000041,519.1762646039999,523.40799048
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,0,4,128,32,1.0857760549999966,0.10156367612903376,4.234250015000043,519.175200844,523.409450859
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,0,5,128,32,1.085568356000067,0.10155634038709459,4.233814907999999,519.1749814799999,523.4087963879999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,0,6,128,32,1.0846845359999406,0.10157234125806407,4.233427114999927,519.175966626,523.4093937409999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,0,7,128,32,1.086726690999967,0.10154864432258232,4.234734665000019,519.17415735,523.408892015
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,1,0,128,32,0.9197106740000436,0.10145771558064377,4.064899857,523.41351802,527.478417877
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,1,1,128,32,0.9212019850000388,0.10148015148387267,4.067086681000092,523.4116244769999,527.478711158
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,1,2,128,32,0.9206755249999787,0.10145303225806768,4.065719525000077,523.411897678,527.477617203
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,1,3,128,32,0.9208096590000423,0.10147019506451495,4.0663857060000055,523.4125012359999,527.4788869419999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,1,4,128,32,0.9208074919999945,0.1014668757419339,4.066280639999945,523.412226745,527.478507385
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,1,5,128,32,0.9202042659999279,0.10148178851613186,4.066139710000016,523.412940274,527.479079984
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,1,6,128,32,0.9195568449999882,0.10149250854838908,4.06582461000005,523.4131708909999,527.478995501
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,1,7,128,32,0.1786775209999405,0.12212805622580676,3.96464726399995,523.411330248,527.375977512
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,2,0,128,32,0.9163006690000657,0.10153426435483799,4.063862864000043,527.481901391,531.545764255
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,2,1,128,32,0.9157225730000391,0.10152531687096612,4.063007395999989,527.482270206,531.5452776019999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,2,2,128,32,0.1685713140000189,0.12239124564516055,3.962699928999996,527.4811058529999,531.4438057819999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,2,3,128,32,0.9154469920000565,0.10153911538709655,4.0631595690000495,527.4828243029999,531.545983872
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,2,4,128,32,0.916991510999992,0.10152623435483805,4.064304775999972,527.481372565,531.545677341
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,2,5,128,32,0.9145392299999457,0.10153987070967677,4.062275221999926,527.483904726,531.5461799479999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,2,6,128,32,0.916472555999917,0.10154664967742079,4.0644186959999615,527.481646093,531.546064789
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,2,7,128,32,0.9170278670000016,0.10150630741935446,4.06372339699999,527.480810841,531.544534238
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,3,0,128,32,0.9232263520000288,0.10140235906451453,4.066699482999979,531.549160545,535.6158600279999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,3,1,128,32,0.9244820229999959,0.10141784793548565,4.068435309000051,531.548221091,535.6166564
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,3,2,128,32,0.9228577589999531,0.10142447999999883,4.067016638999917,531.550328154,535.6173447929999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,3,3,128,32,0.17725286699999288,0.12221856406451494,3.966028352999956,531.548494723,535.5145230759999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,3,4,128,32,0.9230220499999859,0.10141733025806564,4.066959288000021,531.549965146,535.616924434
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,3,5,128,32,0.9231172749999814,0.1014457306129015,4.067934923999928,531.549485377,535.6174203009999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,3,6,128,32,0.9242940149999868,0.10140254735484089,4.067772983000054,531.548788774,535.616561757
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,3,7,128,32,0.9250144669999827,0.10142993435483878,4.069342431999985,531.547897647,535.617240079
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,4,0,128,32,0.9258941040000082,0.1014509451290304,4.0708734029999505,535.620581228,539.6914546309999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,4,1,128,32,0.926488135999989,0.10143869958064457,4.071087822999971,535.619627317,539.69071514
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,4,2,128,32,0.9269383839999819,0.1014287943548366,4.071231008999916,535.619867697,539.6910987059999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,4,3,128,32,0.9264079460000403,0.10142684354838688,4.070640096000034,535.620316057,539.690956153
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,4,4,128,32,0.9261777599999732,0.1014437938064541,4.07093536800005,535.620094078,539.691029446
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,4,5,128,32,0.9254514940000718,0.1014499441290325,4.070399762000079,535.6211681359999,539.691567898
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,4,6,128,32,0.9255960840000625,0.10144484058064555,4.070386142000075,535.6207821209999,539.691168263
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,4,7,128,32,0.1705382819999386,0.12253604261290489,3.96915560299999,535.619345167,539.58850077
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,5,0,128,32,0.9305713379999361,0.10140075632258201,4.073994783999979,539.694722327,543.768717111
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,5,1,128,32,0.17781557999990127,0.12242817861290552,3.9730891169999722,539.69391882,543.667007937
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,5,2,128,32,0.9305769840000266,0.10141477045161287,4.074434868000026,539.6950113329999,543.7694462009999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,5,3,128,32,0.9313147010000193,0.10141175145161234,4.075078996000002,539.694445051,543.769524047
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,5,4,128,32,0.9316226519999873,0.10140516425806548,4.075182744000017,539.6941970409999,543.769379785
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,5,5,128,32,0.9298399000000472,0.10138459938709657,4.072762481000041,539.6953118629999,543.768074344
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,5,6,128,32,0.9300129009999409,0.10138604199999962,4.072980202999929,539.695658706,543.768638909
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,5,7,128,32,0.9317799630000536,0.10141636764516196,4.0756873600000745,539.6936183849999,543.769305745
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,6,0,128,32,0.9327160330000197,0.10135504670967616,4.074722480999981,543.771723998,547.846446479
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,6,1,128,32,0.9309706729999334,0.10134204974193498,4.072574214999918,543.773024082,547.8455982969999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,6,2,128,32,0.9319569119999187,0.10134470583871154,4.073642792999976,543.772552291,547.846195084
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,6,3,128,32,0.9318979550000677,0.10134460051612619,4.0735805709999795,543.7722363629999,547.8458169339999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,6,4,128,32,0.9312202750001006,0.10130074312902956,4.071543312000017,543.7733750069999,547.8449183189999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,6,5,128,32,0.9310156559999996,0.10137754093548504,4.073719425000036,543.7728007569999,547.846520182
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,6,6,128,32,0.17697132700004659,0.12243698099999736,3.972517737999965,543.771951181,547.7444689189999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,6,7,128,32,0.9328221419999636,0.10133631267741851,4.074247834999937,543.771437679,547.8456855139999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,7,0,128,32,0.9448075220000192,0.10147963206451725,4.090676116000054,547.8499448819999,551.940620998
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,7,1,128,32,0.9457674429999088,0.10148807216129288,4.091897679999988,547.848777927,551.940675607
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,7,2,128,32,0.18514356499997575,0.12269333606451666,3.988636982999992,547.849270466,551.837907449
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,7,3,128,32,0.9436187279999331,0.10150275993548656,4.0902042860000165,547.850226713,551.940430999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,7,4,128,32,0.9453568279999445,0.10147999212903223,4.091236583999944,547.849016537,551.940253121
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,7,5,128,32,0.9410211190000837,0.1014826285161271,4.086982603000024,547.8532099519999,551.940192555
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,7,6,128,32,0.9443990359999361,0.10148678680645257,4.090489426999966,547.849625854,551.940115281
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,7,7,128,32,0.9456634900000154,0.10147961706451453,4.091531618999966,547.848477344,551.940008963
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,8,0,128,32,0.9361424379999335,0.10133401503225976,4.077496903999986,551.943745639,556.021242543
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,8,1,128,32,0.9357677229999126,0.10136762632258421,4.078164139000023,551.94426159,556.022425729
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,8,2,128,32,0.9361382050000202,0.10136721419354627,4.078521844999955,551.943983703,556.0225055479999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,8,3,128,32,0.9366280169999754,0.10136853722580723,4.0790526709999995,551.942931627,556.021984298
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,8,4,128,32,0.9350998500000287,0.10135403187096824,4.077074838000044,551.9445727259999,556.021647564
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,8,5,128,32,0.9358629570000403,0.10137360916129153,4.078444841000078,551.9434605529999,556.021905394
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,8,6,128,32,0.936533962999988,0.10138110812903461,4.079348315000061,551.9432165239999,556.022564839
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,8,7,128,32,0.17383741800006192,0.12270034877419235,3.977548230000025,551.9426252439999,555.920173474
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,9,0,128,32,0.9504772159999675,0.10130350748387364,4.09088594800005,556.024878547,560.115764495
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,9,1,128,32,0.18755302299996401,0.12265781293548307,3.989945223999939,556.024629379,560.0145746029999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,9,2,128,32,0.9501322830000163,0.10130002451612727,4.090433042999962,556.025740703,560.116173746
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,9,3,128,32,0.9501037500000393,0.1012963913548366,4.090291881999974,556.025962687,560.1162545689999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,9,4,128,32,0.9500491400000328,0.10131961432257926,4.09095718399999,556.0254361479999,560.1163933319999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,9,5,128,32,0.9493830409999191,0.10140164554838756,4.092834052999933,556.026347999,560.1191820519999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,9,6,128,32,0.9510170500000186,0.1013924523225789,4.094183071999964,556.025132667,560.119315739
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,9,7,128,32,0.9512644299999238,0.10139119212903419,4.094391385999984,556.024353218,560.118744604
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,10,0,128,32,0.9452593119999619,0.10150258625806659,4.091839486000026,560.122492879,564.214332365
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,10,1,128,32,0.9462503889999425,0.10152548748387304,4.093540501000007,560.121854495,564.215394996
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,10,2,128,32,0.9443982760000154,0.10151332612903272,4.091311386000029,560.123813211,564.215124597
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,10,3,128,32,0.946176606999984,0.10151660990322486,4.093191513999955,560.122136555,564.215328069
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,10,4,128,32,0.9458535019999772,0.10147180083871013,4.091479327999991,560.122755968,564.214235296
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,10,5,128,32,0.9449949280000283,0.10151847948387263,4.09206779200008,560.1234202659999,564.215488058
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,10,6,128,32,0.9454243550000001,0.10149620793548629,4.091806801000075,560.123077518,564.214884319
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,10,7,128,32,0.1823017469999968,0.1228885630322595,3.9918472010000414,560.1215740719999,564.113421273
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,11,0,128,32,0.9527628509999886,0.10146391458064749,4.098144203000061,564.217621091,568.315765294
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,11,1,128,32,0.9513455499999282,0.10146674935483882,4.0968147799999315,564.218874777,568.3156895569999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,11,2,128,32,0.9507753550000189,0.10147375225806392,4.0964616750000005,564.2191642399999,568.3156259149999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,11,3,128,32,0.9522457089999534,0.10145690890322517,4.097409884999934,564.217856065,568.3152659499999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,11,4,128,32,0.9481185399999958,0.10143718077419576,4.0926711440000645,564.222323367,568.314994511
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,11,5,128,32,0.9520011820000036,0.10141631632258132,4.095906988000024,564.218502608,568.314409596
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,11,6,128,32,0.9516554900000074,0.1014609968064501,4.09694639099996,564.218133774,568.3150801649999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,11,7,128,32,0.18184796399998504,0.12303722274193588,3.996001868999997,564.217334675,568.213336544
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,12,0,128,32,0.9548984709999786,0.10130166529032272,4.095250094999983,568.318673411,572.413923506
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,12,1,128,32,0.9554215769999246,0.1012976405161299,4.095648432999951,568.317843175,572.413491608
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,12,2,128,32,0.9545625270000073,0.10130778551612982,4.095103878000032,568.318929179,572.414033057
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,12,3,128,32,0.9550480440000229,0.10126899612903124,4.094386923999991,568.318114488,572.412501412
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,12,4,128,32,0.9531741800000191,0.10130159035483918,4.093523481000034,568.3198842319999,572.413407713
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,12,5,128,32,0.955068755999946,0.10131314667742045,4.09577630299998,568.318350161,572.414126464
