split,sequence,block_id,workload_phase,prompt_tokens,output_tokens,concurrency,requested_power_limit_w,requested_clock_mhz,batch_index,request_index,prompt_tokens_observed,completion_tokens,ttft_s,tpot_s,total_s,start_elapsed_s,end_elapsed_s
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,0,128,32,0.9300244439999688,0.10068033590322732,4.051114857000016,539.625845686,543.6769605430001
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,1,128,32,0.9296565249999276,0.10068881080645321,4.051009659999977,539.626106056,543.677115716
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,2,128,32,0.9289214159999801,0.10069638377419118,4.050509312999907,539.626672628,543.677181941
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,3,128,32,0.9292881390000503,0.10069918061290009,4.050962737999953,539.626396043,543.677358781
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,4,128,32,0.9282013150000239,0.10069738880645218,4.0498203680000415,539.626937799,543.676758167
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,5,128,32,0.9279680719999988,0.10066737358064778,4.04865665300008,539.62733378,543.675990433
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,6,128,32,0.9277267080000229,0.10070125754838676,4.0494656920000125,539.627784715,543.677250407
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,0,7,128,32,0.5021006050000096,0.11120224887096972,3.949370320000071,539.625559408,543.574929728
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,0,128,32,0.13400787699993089,0.1143404009677441,3.678560306999998,543.680245471,547.358805778
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,1,128,32,0.6454538530000491,0.1011620965483864,3.7814788460000273,543.67943814,547.460916986
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,2,128,32,0.6441385800000035,0.10112620861290114,3.779051046999939,543.680541721,547.459592768
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,3,128,32,0.6446365959999412,0.10116700993548434,3.780813903999956,543.679934945,547.460748849
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,4,128,32,0.6445348820000163,0.10115002877419174,3.7801857739999605,543.679683755,547.459869529
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,5,128,32,0.6432569119999698,0.10117660070967861,3.779731534000007,543.681113891,547.460845425
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,6,128,32,0.6434456779999209,0.1011566521935507,3.7793018959999927,543.681385854,547.46068775
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,1,7,128,32,0.6453518720001057,0.10115995448387044,3.781310461000089,543.67912466,547.460435121
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,2,0,128,32,0.6539241030000085,0.10107997332258287,3.7874032760000773,547.463067168,551.250470444
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,2,1,128,32,0.6533530230000224,0.10108179012903043,3.7868885169999658,547.46373167,551.250620187
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,2,2,128,32,0.6521302620000142,0.10107671793548434,3.7855085180000287,547.464570837,551.250079355
